Numéro atomique,Nom,Symbole
1,Hydrogène,H
2,Hélium,He
3,Lithium,Li
4,Berylium,Be
5,Bore,B
6,Carbone,C
7,Azote,N
8,Oxygène,O
9,Fluor,F
10,Néon,Ne
11,Sodium,Na
12,Maagnéisum,Mg
13,Aluminium,Al
14,Silicium,Si
15,Phosphore,P
16,Soufre,S
17,Chlore,Cl
18,Argon,Ar
19,Potassium,K
20,Calcium,Ca
