nom;dpt_numero;code_postal;commune_code;Population_2010;Population_1999;Densite_2010;surface;longitude_degre;latitude_degre;longitude_DMS;latitude_DMS;altitude_mini;altitude_maxi
AAST;64;64460;64001;192;191;40;4,75;-0,083333;43,2833;-525;431721;367;393
ABAINVILLE;55;55130;55001;298;318;21;13,67;5,5;48,5333;52940;483153;282;388
ABANCOURT;59;59265;59001;448;432;79;5,67;3,21667;50,2333;31248;501403;36;70
ABANCOURT;60;60220;60001;646;568;107;6,01;1,76667;49,7;14554;494149;170;222
ABAUCOURT;54;54610;54001;298;310;38;7,8;6,25;48,9;61529;485349;182;235
ABAUCOURT-HAUTECOURT;55;55400;55002;99;114;10;9,68;5,53973;49,197;53223;491149;210;251
ABBANS-DESSOUS;25;25320;25001;235;174;73;3,2;5,88333;47,1333;55228;470801;220;315
ABBANS-DESSUS;25;25440;25002;307;272;69;4,43;5,88333;47,1167;55255;470712;268;470
ABBARETZ;44;44170;44001;1916;1509;31;61,76;-1,53333;47,55;-13154;473309;26;91
ABBECOURT;2;2300;2001;528;447;88;5,96;3,18333;49,6;31047;493544;38;64
ABBECOURT;60;60430;60002;775;669;104;7,44;2,15;49,3667;20931;492120;77;150
ABBENANS;25;25340;25003;355;369;31;11,17;6,45;47,5;62702;473000;270;447
ABBEVILLE;80;80132;80001;24155;24568;914;26,42;1,83333;50,1;15007;500619;2;76
ABBEVILLE-LA-RIVIERE;91;91150;91001;283;261;18;15,02;2,16667;48,35;21000;482047;77;147
ABBEVILLE-LES-CONFLANS;54;54800;54002;231;244;29;7,73;5,85;49,2;55040;491152;196;230
ABBEVILLE-SAINT-LUCIEN;60;60480;60003;529;506;100;5,26;2,16667;49,5167;21011;493101;130;156
ABBEVILLERS;25;25310;25004;1076;876;96;11,18;6,91667;47,4333;65506;472553;427;612
ABEILHAN;34;34290;34001;1355;985;173;7,81;3,3;43,45;31741;432659;43;105
ABELCOURT;70;70300;70001;340;303;45;7,46;6,3;47,7833;61725;474707;247;302
ABERE;64;64160;64002;147;133;25;5,81;-0,166667;43,3833;-1032;432323;239;346
ABERGEMENT-LA-RONCE;39;39500;39001;765;735;107;7,12;5,38333;47,0667;52209;470412;186;195
ABERGEMENT-LE-GRAND;39;39600;39002;64;41;15;4,22;5,68333;46,9167;54053;465449;239;288
ABERGEMENT-LE-PETIT;39;39800;39003;41;43;26;1,52;5,7;46,9;54144;465409;250;290
ABERGEMENT-LES-THESY;39;39110;39004;67;53;14;4,63;5,93333;46,9167;55623;465502;619;732
ABIDOS;64;64150;64003;236;200;77;3,06;-0,616667;43,4;-3727;432355;86;170
ABILLY;37;37160;37001;1121;1106;37;30,27;0,727778;46,9412;4340;465628;42;123
ABITAIN;64;64390;64004;101;107;15;6,59;-0,983333;43,4167;-5921;432514;28;136
ABJAT-SUR-BANDIAT;24;24300;24001;650;622;23;27,62;0,758056;45,585;4529;453506;196;355
ABLAIN-SAINT-NAZAIRE;62;62153;62001;1791;1847;181;9,85;2,71667;50,3833;24245;502332;77;188
ABLAINCOURT-PRESSOIR;80;80320;80002;265;227;28;9,46;2,82195;49,8398;24919;495023;67;88
ABLAINZEVELLE;62;62116;62002;200;173;46;4,32;2,73333;50,15;24353;500908;116;144
ABLANCOURT;51;51240;51001;151;172;21;7,07;4,53333;48,8167;43119;484849;89;177
ABLEIGES;95;95450;95002;943;960;117;8,03;1,98333;49,0833;15853;490525;40;128
ABLIS;78;78660;78003;3287;2705;126;25,92;1,84167;48,5167;15008;483060;132;164
ABLON;14;14600;14001;1189;1044;99;12;0,3;49,4;1744;492336;0;118
ABLON-SUR-SEINE;94;94480;94001;5171;4868;4658;1,11;2,41667;48,7167;22516;484332;32;85
ABOEN;42;42380;42001;363;234;40;8,96;4,13333;45,4167;40754;452449;594;771
ABONCOURT;54;54115;54003;112;123;16;6,93;5,96667;48,3583;55801;482129;324;476
ABONCOURT;57;57920;57001;387;346;65;5,9;6,35;49,2667;62049;491538;192;315
ABONCOURT-GESINCOURT;70;70500;70002;232;204;21;10,68;5,97306;47,772;55823;474619;215;315
ABONCOURT-SUR-SEILLE;57;57590;57002;71;64;19;3,63;6,35;48,8167;62022;484859;195;290
ABONDANCE;74;74360;74001;1342;1297;22;58,84;6,73333;46,2833;64319;461644;840;2420
ABONDANT;28;28570;28001;2160;1743;62;34,8;1,43333;48,7833;12621;484705;69;141
ABOS;64;64360;64005;487;481;57;8,45;-0,566667;43,35;-3347;432129;108;250
ABRESCHVILLER;57;57560;57003;1510;1285;36;41,29;7,1;48,6333;70548;483813;273;968
ABREST;3;3200;3001;2732;2419;261;10,46;3,43333;46,1;32641;460555;251;434
ABRIES;5;5460;5001;365;358;4;77,13;6,93333;44,7833;65538;444743;1513;3305
ABSCON;59;59215;59002;4228;4136;581;7,27;3,3;50,3333;31808;502003;38;64
ABZAC;16;16500;16001;496;539;14;33,35;0,7;46,1;4215;460610;122;232
ABZAC;33;33230;33001;1790;1598;133;13,44;-0,133333;45,0167;-741;450060;5;65
ACCOLANS;25;25250;25005;98;79;18;5,18;6,53333;47,5;63155;472940;360;532
ACCOLAY;89;89460;89001;438;433;47;9,27;3,71667;47,6667;34232;473939;110;231
ACCONS;7;7160;7001;428;418;43;9,87;4,38333;44,9;42313;445310;476;1201
ACCOUS;64;64490;64006;426;433;7;60,68;-0,6;42,9833;-3559;425826;420;2458
ACHAIN;57;57340;57004;83;94;17;4,79;6,58333;48,9167;63532;485449;227;330
ACHEN;57;57410;57006;1010;937;83;12,12;7,18333;49,05;71058;490236;225;336
ACHENHEIM;67;67204;67001;2168;2184;359;6,03;7,63333;48,5833;73737;483452;143;191
ACHERES;18;18250;18001;371;353;29;12,75;2,46667;47,2833;22655;471642;211;317
ACHERES;78;78260;78005;19626;18929;2079;9,44;2,06667;48,9667;20407;485744;18;32
ACHERES-LA-FORET;77;77760;77001;1242;1046;98;12,6;2,56667;48,35;23354;482044;73;126
ACHERY;2;2800;2002;587;542;85;6,9;3,38333;49,6833;32323;494132;48;103
ACHEUX-EN-AMIENOIS;80;80560;80003;569;514;80;7,07;2,53333;50,0667;23158;500425;118;152
ACHEUX-EN-VIMEU;80;80210;80004;528;503;42;12,33;1,68333;50,0667;14039;500356;38;111
ACHEVILLE;62;62320;62003;608;457;200;3,04;2,88333;50,3833;25259;502260;51;71
ACHEY;70;70180;70003;71;55;10;7,05;5,6;47,5667;53628;473427;206;258
ACHICOURT;62;62217;62004;7705;7688;1297;5,94;2,76667;50,2667;24534;501624;60;101
ACHIET-LE-GRAND;62;62121;62005;1068;1015;210;5,08;2,78333;50,1333;24657;500750;104;136
ACHIET-LE-PETIT;62;62121;62006;339;328;46;7,25;2,75;50,1167;24505;500726;97;139
ACHUN;58;58110;58001;142;170;5;24,51;3,66667;47,1167;34049;470728;243;317
ACHY;60;60690;60004;347;291;27;12,7;1,95;49,5667;15845;493323;91;187
ACIGNE;35;35690;35001;6166;5254;208;29,55;-1,53333;48,1333;-13212;480803;29;96
ACLOU;27;27800;27001;266;222;71;3,7;0,7;49,1667;4217;491013;57;155
ACON;27;27570;27002;473;407;51;9,16;1,1;48,7667;10527;484622;115;179
ACQ;62;62144;62007;552;502;113;4,86;2,65;50,35;23925;502052;77;145
ACQUEVILLE;14;14220;14002;186;178;27;6,65;-0,366667;48,9717;-2200;485818;126;211
ACQUEVILLE;50;50440;50001;650;650;112;5,79;-1,75;49,6083;-14457;493635;72;178
ACQUIGNY;27;27400;27003;1574;1448;88;17,83;1,18333;49,1667;11042;491022;14;143
ACQUIN-WESTBECOURT;62;62380;62008;684;625;47;14,29;2,08917;50,7276;20521;504339;60;178
ACY;2;2200;2003;959;952;82;11,67;3,41667;49,35;32449;492043;42;165
ACY-EN-MULTIEN;60;60620;60005;782;752;68;11,47;2,96667;49,1;25717;490618;77;140
ACY-ROMANCE;8;8300;8001;441;437;39;11,13;4,33333;49,5;42030;493004;67;147
ADAINCOURT;57;57580;57007;117;107;34;3,42;6,43333;49;62609;490019;221;273
ADAINVILLE;78;78113;78006;759;824;74;10,16;1,65;48,7167;13910;484322;105;184
ADAM-LES-PASSAVANT;25;25360;25006;99;77;10;9,59;6,36667;47,3;62142;471749;310;561
ADAM-LES-VERCEL;25;25530;25007;108;67;33;3,19;6,4;47,1667;62329;471005;634;821
ADAMSWILLER;67;67320;67002;392;459;115;3,4;7,2;48,9;71210;485417;234;303
ADAST;65;65260;65001;257;227;244;1,05;-0,083333;42,9667;-440;425825;434;542
ADE;65;65100;65002;741;678;102;7,24;-0,033333;43,1333;-138;430802;382;583
ADELANGE;57;57380;57008;227;208;39;5,81;6,61667;49;63643;490019;251;317
ADELANS-ET-LE-VAL-DE-BITHAINE;70;70200;70004;309;251;17;17,3;6,39778;47,7098;62352;474235;292;445
ADERVIELLE-POUCHERGUES;65;65240;65003;106;81;11;9,14;0,403889;42,8189;2414;424908;921;2326
ADILLY;79;79200;79002;309;285;23;12,92;-0,316667;46,6833;-1831;464124;143;221
ADINFER;62;62116;62009;237;212;38;6,19;2,7;50,1833;24229;501139;100;149
ADISSAN;34;34230;34002;966;732;216;4,46;3,43333;43,5333;32542;433207;30;105
ADON;45;45230;45001;179;198;7;24,65;2,8;47,7667;24745;474547;137;176
ADRIERS;86;86430;86001;728;796;10;68,09;0,8;46,25;4751;461525;110;231
AFA;2A;20167;2A001;2843;2054;240;11,84;8,79556;41,9839;84744;415902;36;682
AFFIEUX;19;19260;19001;371;349;12;30,19;1,75;45,5167;14601;453103;333;772
AFFLEVILLE;54;54800;54004;200;196;21;9,42;5,76667;49,2667;54548;491613;237;286
AFFOUX;69;69170;69001;331;248;31;10,65;4,4;45,8333;42412;455042;498;960
AFFRACOURT;54;54740;54005;103;113;18;5,56;6,16667;48,4667;61013;482741;239;327
AFFRINGUES;62;62380;62010;217;202;77;2,81;2,06667;50,6833;20424;504121;52;158
AGASSAC;31;31230;31001;117;121;12;9,58;0,883333;43,3667;5315;432216;197;336
AGDE;34;34300;34003;24567;20066;483;50,81;3,46667;43,3167;32831;431836;0;110
AGEL;34;34210;34004;219;167;17;12,54;2,85;43,3333;25112;432016;70;257
AGEN;47;47000;47001;33981;30199;2957;11,49;0,633333;44,2;3707;441211;37;162
AGEN-D'AVEYRON;12;12630;12001;1077;1013;48;22,35;2,68333;44,3667;24045;442125;525;863
AGENCOURT;21;21700;21001;397;419;94;4,2;4,98333;47,1333;45851;470741;209;237
AGENVILLE;80;80370;80005;114;91;34;3,3;2,1;50,1667;20610;500957;88;136
AGENVILLERS;80;80150;80006;193;181;32;5,98;1,91667;50,1667;15510;501042;58;85
AGEVILLE;52;52340;52001;312;292;15;19,55;5,35;48,1167;52120;480636;322;449
AGEY;21;21410;21002;270;258;32;8,42;4,76667;47,2833;44545;471703;289;548
AGHIONE;2B;20270;2B002;234;245;6;33,88;9,41751;42,1075;92503;420627;17;459
AGINCOURT;54;54770;54006;426;396;102;4,17;6,23333;48,7333;61414;484358;204;322
AGME;47;47350;47002;141;102;28;5,01;0,333333;44,4833;2046;442925;48;116
AGNAC;47;47800;47003;441;388;31;13,84;0,366667;44,65;2310;443833;39;125
AGNAT;43;43100;43001;190;209;9;19,65;3,46667;45,35;32657;452036;445;860
AGNEAUX;50;50180;50002;4020;4468;618;6,5;-1,1;49,1167;-10640;490700;7;86
AGNETZ;60;60600;60007;2960;2637;228;12,94;2,38333;49,3833;22303;492256;52;163
AGNEZ-LES-DUISANS;62;62161;62011;675;649;92;7,3;2,66667;50,3;23933;501828;67;111
AGNICOURT-ET-SECHELLES;2;2340;2004;207;211;19;10,79;3,95;49,7167;35712;494259;96;175
AGNIERES;62;62690;62012;236;151;72;3,25;2,6;50,35;23614;502111;87;131
AGNIERES-EN-DEVOLUY;5;5250;5002;270;212;8;32,46;5,88333;44,7;55253;444139;1114;2597
AGNIN;38;38150;38003;969;789;121;7,96;4,86667;45,3333;45126;452024;167;331
AGNOS;64;64400;64007;880;751;95;9,18;-0,616667;43,1667;-3709;430948;247;535
AGNY;62;62217;62013;1958;1954;323;6,05;2,76667;50,2667;24534;501536;65;98
AGON-COUTAINVILLE;50;50230;50003;2834;2724;229;12,35;-1,575;49,0417;-13436;490232;0;49
AGONAC;24;24460;24002;1643;1451;44;37,22;0,75;45,2833;4501;451734;110;224
AGONES;34;34190;34005;241;179;57;4,16;3,75;43,9167;34342;435409;119;323
AGONGES;3;3210;3002;342;357;14;24,1;3,15;46,6;30931;463622;204;266
AGOS-VIDALOS;65;65400;65004;388;290;63;6,11;-0,066667;43,0333;-418;430213;391;1360
AGRIS;16;16110;16003;828;711;44;18,74;0,333333;45,7833;2006;454630;70;134
AGUDELLE;17;17500;17002;106;125;19;5,36;-0,466667;45,3833;-2819;452304;47;77
AGUESSAC;12;12520;12002;860;831;48;17,64;3,1;44,15;30554;440924;367;869
AGUILCOURT;2;2190;2005;349;359;33;10,57;3,96667;49,4;35805;492422;54;102
AGUTS;81;81470;81001;239;187;24;9,79;1,91667;43,5333;15514;433150;182;320
AGY;14;14400;14003;240;277;57;4,21;-0,766667;49,25;-4540;491428;30;83
AHAXE-ALCIETTE-BASCASSAN;64;64220;64008;291;320;19;14,64;-1,16667;43,15;-10954;430902;207;788
AHETZE;64;64210;64009;1809;1318;171;10,56;-1,56667;43,4;-13416;432421;7;100
AHEVILLE;88;88500;88002;59;67;10;5,84;6,2;48,2833;61133;481707;308;401
AHUILLE;53;53940;53001;1839;1379;61;29,87;-0,883333;48,0167;-5214;480111;63;130
AHUN;23;23150;23001;1590;1501;47;33,74;2,05;46,0833;20242;460511;331;564
AHUY;21;21121;21003;1265;1356;197;6,4;5,03333;47,3667;50120;472208;259;395
AIBES;59;59149;59003;361;384;39;9,23;4,1;50,2333;40535;501411;163;228
AIBRE;25;25750;25008;454;455;100;4,5;6,7;47,55;64148;473304;348;473
AICIRITS-CAMOU-SUHAST;64;64120;64010;655;559;68;9,5;0,976112;43,3367;-10126;432012;26;155
AIFFRES;79;79230;79003;5229;4596;203;25,72;-0,416667;46,2833;-2502;461711;13;57
AIGALIERS;30;30700;30001;489;399;17;28,06;4,31667;44,0667;41913;440334;117;350
AIGLEMONT;8;8090;8003;1593;1730;179;8,85;4,78333;49,7833;44557;494653;132;327
AIGLEPIERRE;39;39110;39006;428;342;61;6,97;5,81667;46,95;54908;465709;278;631
AIGLEVILLE;27;27120;27004;344;248;106;3,24;1,41667;49;12513;490027;75;137
AIGLUN;4;4510;4001;1276;1035;85;14,89;6,13333;44,0667;60826;440313;507;900
AIGLUN;6;6910;6001;94;106;6;15,37;6,91667;43,85;65452;435127;373;1541
AIGNAN;32;32290;32001;775;844;24;32,16;0,083333;43,7;500;434152;107;222
AIGNAY-LE-DUC;21;21510;21004;323;403;12;24,86;4,73333;47,6667;44405;473956;310;443
AIGNE;34;34210;34006;265;234;24;10,94;2,81667;43,3333;24750;431956;79;273
AIGNE;72;72650;72001;1546;1349;122;12,59;0,116667;48,0667;708;480401;53;125
AIGNERVILLE;14;14710;14004;200;139;45;4,35;-0,916667;49,3167;-5508;491957;1;54
AIGNES;31;31550;31002;234;193;10;21,81;1,6;43,3167;13519;431913;198;323
AIGNES-ET-PUYPEROUX;16;16190;16004;261;270;20;12,99;0,15;45,45;840;452703;84;201
AIGNEVILLE;80;80210;80008;845;659;78;10,76;1,61667;50,0333;13659;500207;89;124
AIGNY;51;51150;51003;239;189;21;11,24;4,21667;49,0333;41232;490208;72;127
AIGONNAY;79;79370;79004;610;449;43;14,05;-0,25;46,3167;-1530;461947;72;157
AIGRE;16;16140;16005;1076;1135;163;6,59;0,016667;45,9;38;455339;62;129
AIGREFEUILLE;31;31280;31003;1077;577;233;4,62;1,6;43,5667;13525;433404;151;230
AIGREFEUILLE-D'AUNIS;17;17290;17003;3707;3151;221;16,76;-0,933333;46,1167;-5601;460657;12;38
AIGREFEUILLE-SUR-MAINE;44;44140;44002;3320;2152;227;14,58;-1,4;47,0667;-12402;470436;2;56
AIGREMONT;30;30350;30002;670;448;53;12,55;4,11667;43,9667;40721;435757;78;160
AIGREMONT;52;52400;52002;23;18;4;4,87;5,71667;48,0167;54302;480101;289;457
AIGREMONT;78;78240;78007;1099;873;366;3;2,01667;48,9;20109;485410;69;168
AIGREMONT;89;89800;89002;72;75;10;6,82;3,88333;47,7167;35325;474308;176;271
AIGUEBELETTE-LE-LAC;73;73610;73001;240;189;30;7,91;5,81667;45,5333;54854;453216;372;1360
AIGUEBELLE;73;73220;73002;1154;896;299;3,85;6,3;45,5333;61819;453233;310;1008
AIGUEBLANCHE;73;73260;73003;3117;2660;158;19,67;6,5;45,5;63035;453003;437;2280
AIGUEFONDE;81;81200;81002;2731;2630;142;19,13;2,33333;43,4833;21860;432938;180;893
AIGUEPERSE;63;63260;63001;2561;2505;243;10,5;3,2;46,0167;31208;460121;338;422
AIGUEPERSE;69;69790;69002;241;233;18;12,95;4,43333;46,2833;42603;461637;403;610
AIGUES-JUNTES;9;9240;9001;44;49;5;7,77;1,46667;43,05;12815;430320;340;616
AIGUES-MORTES;30;30220;30003;8341;6019;144;57,78;4,19167;43,5667;41133;433400;0;3
AIGUES-VIVES;11;11800;11001;519;483;50;10,21;2,53334;43,2309;23200;431351;55;109
AIGUES-VIVES;30;30670;30004;2990;2329;249;12;4,18056;43,7395;41050;434422;10;87
AIGUES-VIVES;34;34210;34007;429;352;33;12,81;2,81667;43,3333;24906;432015;90;251
AIGUES-VIVES;9;9600;9002;577;486;111;5,16;1,88333;43;15232;425948;391;621
AIGUEZE;30;30760;30005;230;204;11;20,03;4,56667;44,3;43321;441812;40;405
AIGUILHE;43;43000;43002;1585;1552;1440;1,1;3,88473;45,0509;35305;450303;609;751
AIGUILLES;5;5470;5003;433;435;10;40,16;6,86667;44,7833;65208;444654;1400;3078
AIGUILLON;47;47190;47004;4320;4220;152;28,28;0,35;44,3;2027;441758;22;168
AIGUINES;83;83630;83002;261;221;2;114,33;6,25;43,7667;61437;434633;470;1572
AIGURANDE;36;36140;36001;1567;1667;56;27,77;1,83333;46,4333;14944;462603;284;442
AILHON;7;7200;7002;502;337;64;7,8;4,34195;44,5981;42031;443553;258;544
AILLANT-SUR-MILLERON;45;45230;45002;389;357;14;26,93;2,93333;47,8;25547;474734;138;196
AILLANT-SUR-THOLON;89;89110;89003;1403;1453;77;18,2;3,35;47,8667;32103;475229;108;241
AILLAS;33;33124;33002;761;672;21;35,13;-0,066667;44,4667;-427;442827;29;138
AILLEUX;42;42130;42002;147;143;15;9,31;3,95;45,8;35633;454813;428;722
AILLEVANS;70;70110;70005;142;122;24;5,78;6,41667;47,5833;62455;473529;267;393
AILLEVILLE;10;10200;10002;276;218;55;5,01;4,68333;48,25;44052;481510;156;296
AILLEVILLERS-ET-LYAUMONT;70;70320;70006;1677;1850;46;36,3;6,33333;47,9167;62009;475513;260;516
AILLIANVILLE;52;52700;52003;164;185;6;23,63;5,48333;48,35;52841;482032;355;436
AILLIERES-BEAUVOIR;72;72600;72002;215;237;14;15,07;0,325278;48,405;1931;482418;142;337
AILLON-LE-JEUNE;73;73340;73004;449;339;13;34,09;6,08333;45,6167;60450;453705;877;2040
AILLON-LE-VIEUX;73;73340;73005;175;169;8;21,63;6,1;45,65;60537;453903;673;2040
AILLONCOURT;70;70300;70007;307;224;33;9,29;6,38333;47,75;62318;474519;264;450
AILLY;27;27600;27005;1095;781;70;15,55;1,24667;49,1609;11448;490939;70;157
AILLY-LE-HAUT-CLOCHER;80;80690;80009;895;832;82;10,81;2;50,0833;15942;500440;72;115
AILLY-SUR-NOYE;80;80250;80010;2805;2638;110;25,35;2,36667;49,75;22148;494523;43;143
AILLY-SUR-SOMME;80;80470;80011;3157;3322;209;15,06;2,2;49,9167;21138;495536;12;117
AIMARGUES;30;30470;30006;4313;3440;162;26,48;4,2;43,6833;41231;434105;3;13
AIME;73;73210;73006;3501;3222;68;50,74;6,65;45,55;63855;453320;596;2589
AINAY-LE-CHATEAU;3;3360;3003;1050;1163;43;24,07;2,7;46,7167;24133;464241;184;252
AINAY-LE-VIEIL;18;18200;18002;227;198;16;13,77;2,55;46,6667;23307;464001;153;212
AINCILLE;64;64220;64011;135;103;21;6,26;-1,2;43,15;-11143;430841;198;755
AINCOURT;95;95510;95008;972;658;96;10,03;1,78333;49,0667;14622;490421;107;201
AINCREVILLE;55;55110;55004;85;84;9;9,11;5,11667;49,3667;50716;492203;187;314
AINGERAY;54;54460;54007;544;637;42;12,79;6;48,7333;60006;484420;192;289
AINGEVILLE;88;88140;88003;74;68;12;5,77;5,76667;48,2;54612;481225;318;349
AINGOULAINCOURT;52;52230;52004;13;10;2;5,1;5,28333;48,45;51710;482721;303;386
AINHARP;64;64130;64012;147;142;10;14,07;-0,933333;43,2667;-5549;431538;129;426
AINHICE-MONGELOS;64;64220;64013;161;175;15;10,3;-1,15;43,2;-10921;431219;195;546
AINHOA;64;64250;64014;683;599;42;16,19;-1,5;43,3;-12955;431824;52;649
AINVELLE;70;70800;70008;161;219;23;6,75;6,25;47,85;61502;475048;228;298
AINVELLE;88;88320;88004;163;148;18;9,03;5,83333;48;54942;475950;259;444
AIRAINES;80;80270;80013;2304;2094;92;24,88;1,95;49,9667;15636;495754;15;116
AIRAN;14;14370;14005;686;696;50;13,5;-0,15;49,1;-906;490605;22;64
AIRE;8;8190;8004;212;205;33;6,29;4,16667;49,4833;40941;492853;61;125
AIRE-SUR-L'ADOUR;40;40800;40001;6279;6003;108;57,78;-0,266667;43,7;-1546;434211;68;176
AIRE-SUR-LA-LYS;62;62120;62014;9861;9655;295;33,38;2,4;50,6333;22348;503819;16;48
AIREL;50;50680;50004;531;485;52;10,17;-1,08333;49,2167;-10435;491249;1;44
AIRION;60;60600;60008;489;470;72;6,73;2,41667;49,4333;22448;492529;54;131
AIRON-NOTRE-DAME;62;62180;62015;197;183;39;5,05;1,66667;50,4333;13933;502612;3;49
AIRON-SAINT-VAAST;62;62180;62016;200;231;33;5,92;1,66667;50,4333;14002;502554;4;52
AIROUX;11;11320;11002;128;126;23;5,49;1,86667;43,3667;15160;432149;165;251
AIRVAULT;79;79600;79005;3074;3097;62;49,28;-0,15;46,8333;-815;464935;67;140
AISEREY;21;21110;21005;1352;1138;128;10,5;5,16667;47,1667;50944;471020;187;199
AISEY-ET-RICHECOURT;70;70500;70009;107;141;13;7,8;5,95;47,8833;55715;475323;216;317
AISEY-SUR-SEINE;21;21400;21006;225;196;17;12,72;4,58333;47,75;43449;474501;251;379
AISONVILLE-ET-BERNOVILLE;2;2110;2006;288;289;32;8,73;3,53333;49,9333;33118;495603;108;166
AISSEY;25;25360;25009;162;166;15;10,67;6,33333;47,2667;61955;471606;370;599
AISY-SOUS-THIL;21;21390;21007;221;220;26;8,3;4,28333;47,4;41715;472336;313;387
AISY-SUR-ARMANCON;89;89390;89004;265;277;14;17,97;4,21667;47,65;41331;474003;192;346
AITI;2B;20244;2B003;35;24;2;12,17;9,2439;42,3992;91438;422357;240;1120
AITON;73;73220;73007;1774;1161;108;16,29;6,25;45,5667;61531;453340;286;1009
AIX;19;19200;19002;385;307;8;48,02;2,38333;45,6167;22257;453658;650;880
AIX;59;59310;59004;1101;932;168;6,55;3,28333;50,4833;31726;502925;22;47
AIX-EN-DIOIS;26;26150;26001;357;255;21;16,49;5,41667;44,7167;52405;444235;433;1259
AIX-EN-ERGNY;62;62650;62017;176;104;36;4,83;2;50,5833;15950;503457;97;167
AIX-EN-ISSART;62;62170;62018;274;210;27;10,1;1,85;50,4833;15131;502836;15;125
AIX-EN-OTHE;10;10160;10003;2434;2132;70;34,76;3,73333;48,2167;34404;481324;124;246
AIX-EN-PROVENCE;13;13080;13001;141438;134324;760;186,08;5,43333;43,5333;52644;433140;73;501
AIX-LA-FAYETTE;63;63980;63002;73;100;5;13;3,53333;45,5167;33117;453101;842;1109
AIX-LES-BAINS;73;73100;73008;27750;25721;2198;12,62;5,91667;45,7;55454;454119;224;524
AIX-NOULETTE;62;62160;62019;3843;3837;368;10,44;2,7;50,4167;24235;502533;57;172
AIXE-SUR-VIENNE;87;87700;87001;5472;5466;239;22,85;1,13333;45,8;10810;454747;190;343
AIZAC;7;7530;7003;154;169;23;6,65;4,33333;44,7167;41941;444252;420;1200
AIZANVILLE;52;52120;52005;29;25;8;3,5;4,9;48,1;45344;480626;205;298
AIZE;36;36150;36002;128;126;7;17,07;1,7;47,1;14206;470614;100;161
AIZECOURT-LE-BAS;80;80240;80014;58;60;16;3,57;3,05;49,9667;30201;495852;93;149
AIZECOURT-LE-HAUT;80;80200;80015;81;100;22;3,65;2,98333;49,95;25860;495749;78;147
AIZELLES;2;2820;2007;112;94;22;4,88;3,81667;49,4833;34841;492923;73;175
AIZENAY;85;85190;85003;8107;6094;100;81,06;-1,61667;46,7333;-13630;464424;10;76
AIZIER;27;27500;27006;128;127;54;2,36;0,633333;49,4333;3735;492549;0;117
AIZY-JOUY;2;2370;2008;287;240;19;14,63;3,51639;49,4348;33059;492605;56;195
AJAC;11;11300;11003;198;196;37;5,29;2,15;43,05;20814;430252;226;401
AJACCIO;2A;20000;2A004;65542;52851;799;82,03;8,7364;41,9256;84411;415532;0;787
AJAIN;23;23380;23002;1098;1034;33;33,14;2;46,2;15955;461227;310;562
AJAT;24;24210;24004;328;281;14;21,95;1,01667;45,15;10058;450923;148;284
AJONCOURT;57;57590;57009;91;91;26;3,5;6,3;48,85;61722;485042;187;227
AJOU;27;27410;27007;257;218;26;9,83;0,783333;48,9833;4657;485846;115;179
AJOUX;7;7000;7004;95;89;7;12,2;4,51667;44,7667;42937;444524;393;1068
ALAIGNE;11;11240;11004;340;299;24;13,86;2,1;43,1167;20528;430605;244;444
ALAINCOURT;2;2240;2009;503;466;85;5,9;3,36667;49,75;32232;494552;57;109
ALAINCOURT;70;70210;70010;96;89;16;5,83;6,1;47,9333;60606;475631;235;285
ALAINCOURT-LA-COTE;57;57590;57010;143;91;34;4,17;6,35;48,9;62029;485354;195;399
ALAIRAC;11;11290;11005;1279;708;78;16,37;2,25;43,1833;21426;431103;158;422
ALAN;31;31420;31005;306;301;27;11,29;0,95;43,2167;5622;431346;271;520
ALANDO;2B;20212;2B005;28;23;9;3,05;9,29056;42,3064;91726;421823;480;1040
ALATA;2A;20167;2A006;2953;2462;97;30,37;8,74306;41,977;84435;415837;0;782
ALBA-LA-ROMAINE;7;7400;7005;1407;1128;46;30,46;4,59806;44,555;43553;443318;135;554
ALBAN;81;81250;81003;992;848;101;9,82;2,46667;43,9;22737;435320;357;644
ALBARET-LE-COMTAL;48;48310;48001;194;196;6;29,56;3,15;44,8667;30738;445230;740;1161
ALBARET-SAINTE-MARIE;48;48200;48002;564;452;35;15,98;3,26667;44,8833;31450;445255;767;1139
ALBAS;11;11360;11006;74;59;3;22,69;2,73333;43;24403;430022;189;533
ALBAS;46;46140;46001;516;530;23;21,84;1,23333;44,4667;11412;442806;85;332
ALBE;67;67220;67003;472;456;43;10,83;7,31667;48,35;71906;482125;274;901
ALBEFEUILLE-LAGARDE;82;82290;82001;625;641;77;8,03;1,28333;44,05;11640;440359;73;102
ALBENS;73;73410;73010;3231;2651;211;15,3;5,95;45,7833;55642;454711;329;685
ALBEPIERRE-BREDONS;15;15300;15025;222;237;6;34,42;2,88333;45,1;24955;450439;872;1855
ALBERT;80;80300;80016;9774;10068;708;13,8;2,65;50;23908;500007;42;121
ALBERTACCE;2B;20224;2B007;225;202;2;97,12;8,9839;42,3273;85902;421938;785;2558
ALBERTVILLE;73;73200;73011;18876;17335;1076;17,54;6,38333;45,6833;62333;454033;328;2030
ALBESTROFF;57;57670;57011;642;636;33;19,3;6,85;48,9333;65123;485557;217;275
ALBI;81;81990;81004;48916;46299;1105;44,26;2,15;43,9333;20845;435541;130;308
