nom;dpt_numero;code_postal;commune_code;Population_2010;Population_1999;Densite_2010;surface;longitude_degre;latitude_degre;longitude_DMS;latitude_DMS;altitude_mini;altitude_maxi
BERNE;56;56240;56014;1538;1317;44;34,77;-3,4;48;-32333;475942;36;166
BERNECOURT;54;54470;54063;169;181;18;9,38;5,83333;48,85;55037;485036;240;295
BERNEDE;32;32400;32046;216;204;26;8,18;-0,216667;43,6667;-1318;434010;80;168
BERNES;80;80240;80088;299;331;39;7,61;3,08333;49,9;30555;495432;77;114
BERNES-SUR-OISE;95;95340;95058;2378;2221;436;5,45;2,3;49,1667;21802;490940;24;81
BERNESQ;14;14710;14063;195;153;33;5,9;-0,933333;49,2667;-5629;491626;6;62
BERNEUIL;16;16480;16040;329;315;19;16,55;-0,0727778;45,3931;-422;452335;74;166
BERNEUIL;17;17460;17044;1091;832;42;25,45;-0,6;45,65;-3601;453835;5;72
BERNEUIL;80;80620;80089;264;214;47;5,51;2,16667;50,1;21016;500541;78;146
BERNEUIL;87;87300;87012;420;431;16;26,09;1,1;46,0667;10624;460408;192;321
BERNEUIL-EN-BRAY;60;60390;60063;789;756;52;15,15;2,06667;49,35;20357;492056;88;224
BERNEUIL-SUR-AISNE;60;60350;60064;1019;922;96;10,61;3,01667;49,4167;30012;492454;34;142
BERNEVAL-LE-GRAND;76;76370;76081;1327;1047;238;5,56;1,18333;49,9667;11116;495729;0;110
BERNEVILLE;62;62123;62115;441;488;78;5,63;2,66667;50,2667;24017;501556;76;122
BERNEX;74;74500;74033;1241;853;55;22,31;6,66667;46,3667;64030;462141;820;2221
BERNIENVILLE;27;27180;27057;274;246;35;7,81;1,03333;49,0833;10107;490459;136;151
BERNIERES;76;76210;76082;661;543;99;6,63;0,483333;49,6167;2840;493714;110;142
BERNIERES-D'AILLY;14;14170;14064;258;212;27;9,39;-0,083333;48,9667;-522;485742;34;137
BERNIERES-LE-PATRY;14;14410;14065;569;502;36;15,67;-0,733333;48,8167;-4411;484851;152;270
BERNIERES-SUR-MER;14;14990;14066;2331;1887;304;7,66;-0,416667;49,3333;-2519;491956;0;55
BERNIERES-SUR-SEINE;27;27700;27058;328;248;49;6,65;1,35;49,2333;12027;491359;7;37
BERNIEULLES;62;62170;62116;192;207;33;5,74;1,76667;50,55;14625;503318;41;120
BERNIN;38;38190;38039;2991;2906;389;7,67;5,86667;45,2667;55154;451606;219;1200
BERNIS;30;30620;30036;3178;2656;248;12,8;4,28333;43,7667;41710;434556;16;101
BERNOLSHEIM;67;67170;67033;612;510;180;3,39;7,68333;48,75;74123;484522;147;191
BERNON;10;10130;10040;196;196;10;17,91;3,98333;47,9833;35943;475918;134;221
BERNOS-BEAULAC;33;33430;33046;1152;1075;31;36,8;-0,258333;44,38;-1530;442248;46;122
BERNOT;2;2120;2070;459;455;27;16,56;3,5;49,8667;32955;495208;72;144
BERNOUIL;89;89360;89038;122;123;26;4,55;3,9;47,9;35342;475359;119;259
BERNOUVILLE;27;27660;27059;315;349;51;6,12;1,7;49,3;14135;491727;61;101
BERNWILLER;68;68210;68031;642;598;84;7,6;7,18333;47,7;71127;474129;277;307
BERNY-EN-SANTERRE;80;80200;80090;152;153;34;4,43;2,85;49,8667;25059;495153;62;87
BERNY-RIVIERE;2;2290;2071;613;582;77;7,87;3,15;49,4167;30824;492424;36;140
BEROU-LA-MULOTIERE;28;28270;28037;331;298;25;13,2;1,05;48,75;10251;484442;122;182
BERRAC;32;32480;32047;108;90;13;7,99;0,616667;44,0167;3259;440046;73;207
BERRE-L'ETANG;13;13130;13014;13582;13410;311;43,64;5,18333;43,4667;51005;432832;0;146
BERRE-LES-ALPES;6;6390;6015;1279;1163;133;9,58;7,3289;43,8303;71944;434949;237;816
BERRIAC;11;11090;11037;885;624;331;2,67;2,41667;43,2167;22449;431260;80;144
BERRIAS-ET-CASTELJAU;7;7460;7031;663;566;25;26,42;4,20028;44,3748;41201;442229;100;262
BERRIC;56;56230;56015;1591;1027;74;21,45;-2,51667;47,6333;-23132;473755;24;122
BERRIE;86;86120;86022;267;266;16;16,64;-0,066667;47,0667;-407;470402;36;124
BERRIEN;29;29690;29007;960;944;17;56,42;-3,75;48,4;-34507;482415;92;355
BERRIEUX;2;2820;2072;177;160;35;4,98;3,85;49,4833;35053;492916;72;159
BERROGAIN-LARUNS;64;64130;64115;106;136;39;2,68;-0,85;43,25;-5153;431441;117;290
BERRU;51;51420;51052;501;454;36;13,65;4,15;49,2667;40906;491619;109;262
BERRWILLER;68;68500;68032;1163;1058;151;7,66;7,21667;47,85;71309;475059;244;360
BERRY-AU-BAC;2;2190;2073;575;528;70;8,1;3,9;49,4;35405;492413;50;91
BERRY-BOUY;18;18500;18028;1216;934;39;30,87;2,3;47,1167;21722;470635;113;162
BERSAC-SUR-RIVALIER;87;87370;87013;622;630;19;32,54;1,41667;46,0833;12536;460450;285;612
BERSAILLIN;39;39800;39049;392;275;28;13,9;5,6;46,8667;53605;465134;222;300
